m, m, m, m, m, m, m, BP, JV, no, N, 10, 115, 5080, 8030, 1, 6.15, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 150, 5080, 8030, 1, 5.82, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 156, 5080, 8030, 1, 1.03, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 115, 5095, 8030, 1, 4.15, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 150, 5095, 8030, 1, 3.92, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 156, 5095, 8030, 1, 0.69, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 115, 2040, 8030, 1, 37.90, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 150, 2040, 8030, 1, 35.79, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 156, 2040, 8030, 1, 6.31, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 115, 5085, 8030, 1, 227.45, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 150, 5085, 8030, 1, 214.81, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 156, 5085, 8030, 1, 37.88, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 115, 2041, 8030, 1, 3.06, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 150, 2041, 8030, 1, 2.89, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 156, 2041, 8030, 1, 0.51, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 110, 2045, 8062, 1, 0.53, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 113, 2045, 8062, 1, 0.09, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 115, 2045, 8062, 1, 0.46, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 122, 2045, 8062, 1, 0.10, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 125, 2045, 8062, 1, 0.03, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 150, 2045, 8062, 1, 5.93, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 189, 2045, 8062, 1, 0.20, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 80, 810, 2045, 8062, 1, 2.66, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 110, 5087, 8062, 1, 1.45, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 113, 5087, 8062, 1, 0.23, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 115, 5087, 8062, 1, 1.24, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 122, 5087, 8062, 1, 0.26, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 125, 5087, 8062, 1, 0.08, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 150, 5087, 8062, 1, 16.08, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 189, 5087, 8062, 1, 0.54, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 80, 810, 5087, 8062, 1, 7.18, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 110, 5080, 8062, 1, 0.69, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 113, 5080, 8062, 1, 0.11, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 115, 5080, 8062, 1, 0.60, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 122, 5080, 8062, 1, 0.13, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 125, 5080, 8062, 1, 0.04, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 150, 5080, 8062, 1, 7.72, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 189, 5080, 8062, 1, 0.26, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 80, 810, 5080, 8062, 1, 3.45, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 110, 5095, 8062, 1, 0.47, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 113, 5095, 8062, 1, 0.08, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 115, 5095, 8062, 1, 0.40, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 122, 5095, 8062, 1, 0.08, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 125, 5095, 8062, 1, 0.03, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 150, 5095, 8062, 1, 5.20, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 189, 5095, 8062, 1, 0.17, 0.00
